Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente;Valor Venda;Valor Recebido;Vr. Desconto;Tx Serviço;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
;Código;Produto;Qtde;Vr. Total;Vr. Unitário;Observação;Hora Lançamento;Computador;Operação;Atendente;CO_VENDA;IC_ITEM_CANCELADO
1368801;;10365;30/12/2022 23:07:46;31/12/2022 01:07:07;;153;153;0;15,3;15;LOCA;66601;EXTRA3;CAIXA;;;;;;;1;;;;;901;
;97;JARRA SANGRIA LOCA SUMMER;1;55;55;;30/12/2022 23:07:46;SERVIDOR;15;EXTRA3;1368801;F
;231;CANECA CHOPP LAGER;1;12;12;;30/12/2022 23:12:27;SERVIDOR;15;EXTRA3;1368801;F
;231;CANECA CHOPP LAGER;1;12;12;;30/12/2022 23:16:51;SERVIDOR;15;EXTRA3;1368801;F
;231;CANECA CHOPP LAGER;1;12;12;;30/12/2022 23:16:51;SERVIDOR;15;EXTRA3;1368801;F
;81;CEVICHE CLASSICO;1;42;42;;30/12/2022 23:19:09;SERVIDOR;15;EXTRA3;1368801;F
;231;CANECA CHOPP LAGER;1;12;12;;30/12/2022 23:39:07;SERVIDOR;15;EXTRA3;1368801;F
;98;COCA COLA LT ZERO;1;8;8;;30/12/2022 23:52:02;SERVIDOR;15;EXTRA3;1368801;F
1368701;;10364;30/12/2022 20:32:56;31/12/2022 01:06:21;;141;141;0;14,1;26;LOCA;66601;EXTRA3;CAIXA;;;;;;;1;;;;;901;
;231;CANECA CHOPP LAGER;1;12;12;;30/12/2022 21:15:31;SERVIDOR;26;EXTRA3;1368701;F
;231;CANECA CHOPP LAGER;1;12;12;;30/12/2022 21:46:06;SERVIDOR;26;EXTRA3;1368701;F
;111;AGUA SEM GAS;1;7;7;;30/12/2022 22:11:34;SERVIDOR;26;EXTRA3;1368701;F
;231;CANECA CHOPP LAGER;1;12;12;;30/12/2022 22:20:28;SERVIDOR;26;EXTRA3;1368701;F
;85;CHICKEN FINGERS ;1;34;34;;30/12/2022 22:52:05;SERVIDOR;26;EXTRA3;1368701;F
;281;COCA COLA KS 290ML;1;8;8;;30/12/2022 22:56:00;SERVIDOR;26;EXTRA3;1368701;F
;405;CRISPY CHICKEN BURGUER;1;36;36;;30/12/2022 23:45:12;SERVIDOR;26;EXTRA3;1368701;F
;338;GUARANA LT ZERO;1;8;8;;31/12/2022 00:00:50;SERVIDOR;26;EXTRA3;1368701;F
;231;CANECA CHOPP LAGER;1;12;12;;31/12/2022 00:15:23;SERVIDOR;26;EXTRA3;1368701;F
1368601;;10363;30/12/2022 20:50:49;31/12/2022 01:04:22;;758;758;0;75,8;9;LOCA;66601;MARCIO;CAIXA;;;;;;;1;;;;;1;
;420;HEINEKEN LONG NECK;1;12;12;;30/12/2022 17:41:05;SERVIDOR;9;EMERSON;1368601;F
;246;SANGRIA LOCA SUMMER ;1;26;26;;30/12/2022 18:38:40;SERVIDOR;9;EMERSON;1368601;F
;281;COCA COLA KS 290ML;1;8;8;;30/12/2022 19:19:11;SERVIDOR;9;HENRIQUE;1368601;F
;246;SANGRIA LOCA SUMMER ;1;26;26;;30/12/2022 19:20:59;SERVIDOR;9;HENRIQUE;1368601;F
;420;HEINEKEN LONG NECK;1;12;12;;30/12/2022 19:28:17;SERVIDOR;9;HENRIQUE;1368601;F
;87;FAVA COM CAMARÃO;1;28;28;;30/12/2022 19:33:57;SERVIDOR;9;HENRIQUE;1368601;F
;97;JARRA SANGRIA LOCA SUMMER;1;55;55;;30/12/2022 19:47:54;SERVIDOR;9;HENRIQUE;1368601;F
;440;FISH AND CHIPS;1;46;46;;30/12/2022 20:09:59;SERVIDOR;9;HENRIQUE;1368601;F
;45;CEVICHE BANANA;1;34;34;;30/12/2022 20:50:49;SERVIDOR;9;HENRIQUE;1368601;F
;421;BURRATA COM JAMON E VERDE;1;59;59;;30/12/2022 20:53:41;SERVIDOR;9;HENRIQUE;1368601;F
;422;PORÇÃO FOCACCIA;1;19;19;;30/12/2022 20:53:41;SERVIDOR;9;HENRIQUE;1368601;F
;420;HEINEKEN LONG NECK;1;12;12;;30/12/2022 20:53:50;SERVIDOR;9;HENRIQUE;1368601;F
;107;APEROL SPRITZ;1;26;26;;30/12/2022 21:01:48;SERVIDOR;9;HENRIQUE;1368601;F
;446;MIMOSA;1;24;24;;30/12/2022 21:01:48;SERVIDOR;9;HENRIQUE;1368601;F
;87;FAVA COM CAMARÃO;1;28;28;;30/12/2022 21:10:22;SERVIDOR;9;HENRIQUE;1368601;F
;107;APEROL SPRITZ;1;26;26;;30/12/2022 21:23:48;SERVIDOR;9;HENRIQUE;1368601;F
;97;JARRA SANGRIA LOCA SUMMER;1;55;55;;30/12/2022 21:25:12;SERVIDOR;9;HENRIQUE;1368601;F
;420;HEINEKEN LONG NECK;1;12;12;;30/12/2022 21:35:54;SERVIDOR;9;HENRIQUE;1368601;F
;440;FISH AND CHIPS;1;46;46;;30/12/2022 21:47:58;SERVIDOR;9;HENRIQUE;1368601;F
;87;FAVA COM CAMARÃO;1;28;28;;30/12/2022 21:47:58;SERVIDOR;9;HENRIQUE;1368601;F
;526;AGUA COM GÁS ;1;7;7;;30/12/2022 21:57:27;SERVIDOR;9;HENRIQUE;1368601;F
;436;BRUSCHETA;1;28;28;;30/12/2022 22:12:32;SERVIDOR;9;HENRIQUE;1368601;F
;111;AGUA SEM GAS;1;7;7;;30/12/2022 22:31:56;SERVIDOR;9;HENRIQUE;1368601;F
;420;HEINEKEN LONG NECK;1;12;12;;30/12/2022 22:37:25;SERVIDOR;9;HENRIQUE;1368601;F
;239;CANECA CHOPP IPA;1;15;15;;30/12/2022 22:40:37;SERVIDOR;9;HENRIQUE;1368601;F
;453;SOL LN;1;10;10;;30/12/2022 22:48:14;SERVIDOR;9;HENRIQUE;1368601;F
;420;HEINEKEN LONG NECK;1;12;12;;30/12/2022 23:37:13;SERVIDOR;9;HENRIQUE;1368601;F
;420;HEINEKEN LONG NECK;1;12;12;;30/12/2022 23:37:13;SERVIDOR;9;HENRIQUE;1368601;F
;246;SANGRIA LOCA SUMMER ;1;26;26;;30/12/2022 23:37:13;SERVIDOR;9;HENRIQUE;1368601;F
;404;CHURROS DOCE DE LEITE;1;23;23;;31/12/2022 00:02:59;SERVIDOR;9;HENRIQUE;1368601;F
;420;HEINEKEN LONG NECK;1;12;12;;31/12/2022 00:23:53;SERVIDOR;9;HENRIQUE;1368601;F
;420;HEINEKEN LONG NECK;1;12;12;;31/12/2022 00:43:32;SERVIDOR;9;HENRIQUE;1368601;F
1368501;;10362;30/12/2022 21:30:02;31/12/2022 01:02:58;;67;67;0;3,7;72;LOCA;66601;EMERSON;CAIXA;;;;;;;1;;;;;501;
;526;AGUA COM GÁS ;1;7;7;;30/12/2022 21:30:02;SERVIDOR;72;EMERSON;1368501;F
;239;CANECA CHOPP IPA;1;15;15;;30/12/2022 22:22:13;SERVIDOR;72;EMERSON;1368501;F
;239;CANECA CHOPP IPA;1;15;15;;30/12/2022 22:41:14;SERVIDOR;72;EMERSON;1368501;F
;229;COUVERT LOCA JAMPA;1;15;15;;30/12/2022 22:51:49;SERVIDOR;72;EMERSON;1368501;F
;229;COUVERT LOCA JAMPA;1;15;15;;30/12/2022 22:51:49;SERVIDOR;72;EMERSON;1368501;F
1368401;;10361;30/12/2022 19:05:59;31/12/2022 00:57:00;;334;334;0;26;23;LOCA;66601;MARCIO;CAIXA;;;;;;;1;;;;;1;
;239;CANECA CHOPP IPA;1;15;15;;30/12/2022 19:11:42;SERVIDOR;23;HENRIQUE;1368401;F
;229;COUVERT LOCA JAMPA;1;15;15;;30/12/2022 19:53:50;SERVIDOR;23;EMERSON;1368401;F
;229;COUVERT LOCA JAMPA;1;15;15;;30/12/2022 19:53:50;SERVIDOR;23;EMERSON;1368401;F
;229;COUVERT LOCA JAMPA;1;15;15;;30/12/2022 20:32:55;SERVIDOR;23;EMERSON;1368401;F
;229;COUVERT LOCA JAMPA;1;15;15;;30/12/2022 20:32:55;SERVIDOR;23;EMERSON;1368401;F
;91;CHORIPAN LOCA SUMMER;1;27;27;;30/12/2022 21:01:27;SERVIDOR;23;EXTRA3;1368401;F
;91;CHORIPAN LOCA SUMMER;1;27;27;;30/12/2022 21:01:27;SERVIDOR;23;EXTRA3;1368401;F
;241;JARRA IPA;1;45;45;;30/12/2022 21:01:27;SERVIDOR;23;EXTRA3;1368401;F
;281;COCA COLA KS 290ML;1;8;8;;30/12/2022 21:01:28;SERVIDOR;23;EXTRA3;1368401;F
;84;BOLINHO ACOSTELADO;1;36;36;;30/12/2022 21:01:28;SERVIDOR;23;EXTRA3;1368401;F
;62;PAPAS LOCAS (BATATA);1;26;26;;30/12/2022 21:01:28;SERVIDOR;23;EXTRA3;1368401;F
;241;JARRA IPA;1;45;45;;30/12/2022 21:44:49;SERVIDOR;23;EXTRA3;1368401;F
;241;JARRA IPA;1;45;45;;30/12/2022 22:48:07;SERVIDOR;23;EXTRA3;1368401;F
1368301;;10360;30/12/2022 22:20:48;31/12/2022 00:46:09;;145;145;0;14,5;22;LOCA;66601;EXTRA3;CAIXA;;;;;;;1;;;;;901;
;241;JARRA IPA;1;45;45;;30/12/2022 22:20:48;SERVIDOR;22;EXTRA3;1368301;F
;85;CHICKEN FINGERS ;1;34;34;;30/12/2022 22:50:21;SERVIDOR;22;EXTRA3;1368301;F
;84;BOLINHO ACOSTELADO;1;36;36;;30/12/2022 22:50:21;SERVIDOR;22;EXTRA3;1368301;F
;262;EMBALAGEM M;1;2;2;;30/12/2022 23:57:48;SERVIDOR;22;EXTRA3;1368301;F
;578;VB SOUR;1;28;28;;31/12/2022 00:37:56;SERVIDOR;22;EXTRA3;1368301;F
1368201;;10359;30/12/2022 21:10:12;31/12/2022 00:45:26;;126;126;0;12,6;18;LOCA;66601;EXTRA3;CAIXA;;;;;;;1;;;;;901;
;48;CAIPIROSCA;1;18;18;;30/12/2022 21:10:12;SERVIDOR;18;EXTRA3;1368201;F
;192;DOSE RED LABEL;1;23;23;;30/12/2022 21:10:12;SERVIDOR;18;EXTRA3;1368201;F
;50;RED BULL;1;18;18;;30/12/2022 21:10:12;SERVIDOR;18;EXTRA3;1368201;F
;48;CAIPIROSCA;1;18;18;;30/12/2022 22:02:55;SERVIDOR;18;EXTRA3;1368201;F
;111;AGUA SEM GAS;1;7;7;;30/12/2022 22:38:41;SERVIDOR;18;EXTRA3;1368201;F
;420;HEINEKEN LONG NECK;1;12;12;;30/12/2022 22:38:41;SERVIDOR;18;EXTRA3;1368201;F
;48;CAIPIROSCA;1;18;18;;30/12/2022 23:01:28;SERVIDOR;18;EMERSON;1368201;F
