Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente;Valor Venda;Valor Recebido;Vr. Desconto;Tx Serviço;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
;Código;Produto;Qtde;Vr. Total;Vr. Unitário;Observação;Hora Lançamento;Computador;Operação;Atendente;CO_VENDA;IC_ITEM_CANCELADO
1122401;;7901;30/09/2022 19:17:22;01/10/2022 02:01:44;;56;56;0;5,6;51;LOCA;56701;ANA;CAIXA;;;;;;;1;;;;;2401;
;88;ARROZ COSTELA ;1;39;39;;30/09/2022 19:17:22;SERVIDOR;51;ANA;1122401;F
;99;AGUA COM GÁS EV;1;7;7;;30/09/2022 19:17:32;SERVIDOR;51;ANA;1122401;F
;86;COUVERT LOCA;1;10;10;;30/09/2022 21:30:29;SERVIDOR;51;ANA;1122401;F
1122301;;7900;30/09/2022 19:38:33;01/10/2022 02:00:04;;210;210;0;23;32;LOCA;56701;MARCIO;CAIXA;;;;;;;1;;;;;1;
;459;BALDE SOL ;1;40;40;;30/09/2022 19:38:33;SERVIDOR;32;REYNALDO;1122301;F
;111;AGUA SEM GAS;1;7;7;;30/09/2022 20:11:16;SERVIDOR;32;GABRIEL;1122301;F
;84;BOLINHO ACOSTELADO;1;34;34;;30/09/2022 20:16:17;SERVIDOR;32;GABRIEL;1122301;F
;440;FISH AND CHIPS;1;46;46;;30/09/2022 20:16:17;SERVIDOR;32;GABRIEL;1122301;F
;281;COCA COLA KS 290ML;1;8;8;;30/09/2022 20:16:32;SERVIDOR;32;GABRIEL;1122301;F
;281;COCA COLA KS 290ML;1;8;8;;30/09/2022 20:16:32;SERVIDOR;32;GABRIEL;1122301;F
;111;AGUA SEM GAS;1;7;7;;30/09/2022 21:01:57;SERVIDOR;32;GABRIEL;1122301;F
;86;COUVERT LOCA;1;10;10;;30/09/2022 21:14:02;SERVIDOR;32;GABRIEL;1122301;F
