Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente;Valor Venda;Valor Recebido;Vr. Desconto;Tx Serviço;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
;Código;Produto;Qtde;Vr. Total;Vr. Unitário;Observação;Hora Lançamento;Computador;Operação;Atendente;CO_VENDA;IC_ITEM_CANCELADO
1205701;;8734;31/10/2022 18:18:54;31/10/2022 23:24:13;;547,5;547,5;0;59,35;4;LOCA;61201;MARCIO;CAIXA;;;;;;;1;;;;;1;
;411;MOCO FIDALGO TINTO;1;89;89;;31/10/2022 18:18:54;SERVIDOR;4;EMERSON;1205701;F
;463;PIRULITO CAMARÃO HP;1;15;15;;31/10/2022 18:37:05;SERVIDOR;4;EMERSON;1205701;F
;461;PIRULITO BARRIGA HP;1;12;12;;31/10/2022 18:37:05;SERVIDOR;4;EMERSON;1205701;F
;459;BALDE SOL ;1;40;40;;31/10/2022 18:48:17;SERVIDOR;4;EMERSON;1205701;F
;461;PIRULITO BARRIGA HP;1;12;12;;31/10/2022 19:05:11;SERVIDOR;4;EMERSON;1205701;F
;461;PIRULITO BARRIGA HP;1;12;12;;31/10/2022 19:05:11;SERVIDOR;4;EMERSON;1205701;F
;440;FISH AND CHIPS;1;46;46;;31/10/2022 19:26:10;SERVIDOR;4;EMERSON;1205701;F
;459;BALDE SOL ;1;40;40;;31/10/2022 19:48:45;SERVIDOR;4;EMERSON;1205701;F
;461;PIRULITO BARRIGA HP;1;12;12;;31/10/2022 19:48:45;SERVIDOR;4;EMERSON;1205701;F
;458;CHORIPAN HP;1;21;21;;31/10/2022 19:48:45;SERVIDOR;4;EMERSON;1205701;F
;411;MOCO FIDALGO TINTO;1;89;89;;31/10/2022 20:05:59;SERVIDOR;4;EMERSON;1205701;F
;230;MOLHO EXTRA AIOLE;1;2,5;2,5;;31/10/2022 20:25:43;SERVIDOR;4;EMERSON;1205701;F
;411;MOCO FIDALGO TINTO;1;89;89;;31/10/2022 21:05:21;SERVIDOR;4;EMERSON;1205701;F
;84;BOLINHO ACOSTELADO;1;34;34;;31/10/2022 21:09:28;SERVIDOR;4;EMERSON;1205701;F
;84;BOLINHO ACOSTELADO;1;34;34;;31/10/2022 21:21:17;SERVIDOR;4;EMERSON;1205701;F
1205601;;8733;31/10/2022 21:40:03;31/10/2022 23:18:43;;50;50;0;3,4;53;LOCA;61201;ANA;CAIXA;;;;;;;1;;;;;2401;
;84;BOLINHO ACOSTELADO;1;34;34;;31/10/2022 21:40:03;SERVIDOR;53;ANA;1205601;F
;525;SODA ITALIANA ;1;16;16;;31/10/2022 21:40:03;SERVIDOR;53;ANA;1205601;F
