Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente;Valor Venda;Valor Recebido;Vr. Desconto;Tx Serviço;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
;Código;Produto;Qtde;Vr. Total;Vr. Unitário;Observação;Hora Lançamento;Computador;Operação;Atendente;CO_VENDA;IC_ITEM_CANCELADO
1050601;;7184;30/08/2022 18:12:20;31/08/2022 11:09:12;;257;257;0;25,7;6;LOCA;53601;MARCIO;CAIXA;;;;;;;1;;;;;1;
;408;PRAYA PURO MALTE 600  ML;1;18;18;;30/08/2022 18:09:06;SERVIDOR;6;GABRIEL;1050601;F
;77;MOJITO;1;21;21;;30/08/2022 18:12:20;SERVIDOR;6;GABRIEL;1050601;F
;440;FISH AND CHIPS;1;46;46;;30/08/2022 18:17:54;SERVIDOR;6;GABRIEL;1050601;F
;336;COCA COLA LT NORMAL;1;8;8;;30/08/2022 18:17:54;SERVIDOR;6;GABRIEL;1050601;F
;62;PAPAS LOCAS (BATATA);1;26;26;;30/08/2022 18:28:57;SERVIDOR;6;EMERSON;1050601;F
;232;JARRA CHOPP;1;30;30;;30/08/2022 18:32:47;SERVIDOR;6;GABRIEL;1050601;F
;18;LOCA BURGUER;1;38;38;;30/08/2022 18:33:33;SERVIDOR;6;EMERSON;1050601;F
;241;JARRA IPA;1;40;40;;30/08/2022 18:58:35;SERVIDOR;6;EMERSON;1050601;F
;232;JARRA CHOPP;1;30;30;;30/08/2022 19:30:53;SERVIDOR;6;GABRIEL;1050601;F
1050501;;7183;30/08/2022 19:44:46;31/08/2022 11:09:01;;15;15;0;1,5;64;LOCA;53601;GABRIEL;CAIXA;;;;;;;1;;;;;2201;
;239;CANECA CHOPP IPA;1;15;15;;30/08/2022 19:44:46;SERVIDOR;64;GABRIEL;1050501;F
1050401;;7182;30/08/2022 18:12:20;31/08/2022 11:08:51;;124,5;124,5;0;12,45;14;LOCA;53601;MARCIO;CAIXA;;;;;;;1;;;;;1;
;18;LOCA BURGUER;1;38;38;;30/08/2022 19:24:20;SERVIDOR;14;ANA;1050401;F
;405;CRISPY CHICKEN BURGUER;1;36;36;;30/08/2022 19:24:20;SERVIDOR;14;ANA;1050401;F
;99;AGUA COM GÁS EV;1;6,5;6,5;;30/08/2022 19:24:20;SERVIDOR;14;ANA;1050401;F
;109;SODA ITALIANA EV;1;16;16;;30/08/2022 19:27:57;SERVIDOR;14;ANA;1050401;F
;436;BRUSCHETA;1;28;28;;30/08/2022 20:11:34;SERVIDOR;14;ANA;1050401;F
1050301;;7181;30/08/2022 19:38:39;31/08/2022 11:08:07;;88;88;0;8,8;1;LOCA;53601;CASSIA;CAIXA;;;;;;;1;;;;;601;
;337;GUARANA LT NORMAL;1;8;8;;30/08/2022 19:38:39;SERVIDOR;1;CASSIA;1050301;F
;98;COCA COLA LT ZERO;1;8;8;;30/08/2022 19:43:29;SERVIDOR;1;CASSIA;1050301;F
;84;BOLINHO ACOSTELADO;1;34;34;;30/08/2022 19:57:00;SERVIDOR;1;CASSIA;1050301;F
;18;LOCA BURGUER;1;38;38;;30/08/2022 19:58:18;SERVIDOR;1;CASSIA;1050301;F
1050201;;7180;30/08/2022 19:47:09;31/08/2022 11:07:35;;16;16;0;1,8;61;LOCA;53601;EMERSON;CAIXA;;;;;;;1;;;;;501;
;109;SODA ITALIANA EV;1;16;16;;30/08/2022 19:47:09;SERVIDOR;61;EMERSON;1050201;F
1050101;;7179;30/08/2022 19:01:08;31/08/2022 11:07:18;;16;16;0;1,6;63;LOCA;53601;GABRIEL;CAIXA;;;;;;;1;;;;;2201;
;74;CAIPIRINHA;1;16;16;;30/08/2022 19:01:08;SERVIDOR;63;GABRIEL;1050101;F
1050001;;7178;30/08/2022 17:59:12;31/08/2022 11:07:04;;520;520;0;52;51;LOCA;53601;GABRIEL;CAIXA;;;;;;;1;;;;;2201;
;241;JARRA IPA;1;40;40;;30/08/2022 17:59:12;SERVIDOR;51;GABRIEL;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 18:55:31;SERVIDOR;51;GABRIEL;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 18:55:54;SERVIDOR;51;GABRIEL;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 18:55:54;SERVIDOR;51;GABRIEL;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 20:00:53;SERVIDOR;51;GABRIEL;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 20:00:53;SERVIDOR;51;GABRIEL;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 20:16:41;SERVIDOR;51;GABRIEL;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 20:16:41;SERVIDOR;51;GABRIEL;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 20:48:48;SERVIDOR;51;ANA;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 20:48:48;SERVIDOR;51;ANA;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 21:09:03;SERVIDOR;51;GABRIEL;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 21:09:03;SERVIDOR;51;GABRIEL;1050001;F
;241;JARRA IPA;1;40;40;;30/08/2022 21:09:03;SERVIDOR;51;GABRIEL;1050001;F
1049901;;7177;30/08/2022 20:06:15;31/08/2022 11:06:54;;35;35;0;3,5;59;LOCA;53601;GABRIEL;CAIXA;;;;;;;1;;;;;2201;
;109;SODA ITALIANA EV;1;16;16;;30/08/2022 20:06:15;SERVIDOR;59;GABRIEL;1049901;F
;422;PORÇÃO FOCACCIA;1;19;19;;30/08/2022 21:19:49;SERVIDOR;59;GABRIEL;1049901;F
1049801;;7176;30/08/2022 20:52:58;31/08/2022 11:06:30;;48;48;0;4,8;62;LOCA;53601;GABRIEL;CAIXA;;;;;;;1;;;;;2201;
;337;GUARANA LT NORMAL;1;8;8;;30/08/2022 20:52:58;SERVIDOR;62;GABRIEL;1049801;F
;241;JARRA IPA;1;40;40;;30/08/2022 21:46:03;SERVIDOR;62;GABRIEL;1049801;F
1049701;;7175;30/08/2022 19:41:45;31/08/2022 11:06:17;;71;71;0;7,1;57;LOCA;53601;EMERSON;CAIXA;;;;;;;1;;;;;501;
;239;CANECA CHOPP IPA;1;15;15;;30/08/2022 19:41:45;SERVIDOR;57;EMERSON;1049701;F
;436;BRUSCHETA;1;28;28;;30/08/2022 19:43:10;SERVIDOR;57;EMERSON;1049701;F
;110;LOCA PINK;1;28;28;;30/08/2022 19:55:55;SERVIDOR;57;GABRIEL;1049701;F
1049601;;7174;30/08/2022 20:47:32;31/08/2022 11:06:02;;63;63;0;6,3;65;LOCA;53601;GABRIEL;CAIXA;;;;;;;1;;;;;2201;
;239;CANECA CHOPP IPA;1;15;15;;30/08/2022 20:47:32;SERVIDOR;65;GABRIEL;1049601;F
;405;CRISPY CHICKEN BURGUER;1;36;36;;30/08/2022 21:20:16;SERVIDOR;65;GABRIEL;1049601;F
;231;CANECA CHOPP LAGER;1;12;12;;30/08/2022 21:29:36;SERVIDOR;65;GABRIEL;1049601;F
1049501;;7173;30/08/2022 21:23:34;31/08/2022 11:05:44;;30;30;0;3;37;LOCA;53601;GABRIEL;CAIXA;;;;;;;1;;;;;2201;
;239;CANECA CHOPP IPA;1;15;15;;30/08/2022 21:23:34;SERVIDOR;37;GABRIEL;1049501;F
;239;CANECA CHOPP IPA;1;15;15;;30/08/2022 22:50:49;SERVIDOR;37;ANA;1049501;F
1049401;;7172;30/08/2022 20:43:33;31/08/2022 11:05:26;;240;240;0;24;46;LOCA;53601;EMERSON;CAIXA;;;;;;;1;;;;;501;
;241;JARRA IPA;1;40;40;;30/08/2022 20:43:33;SERVIDOR;46;EMERSON;1049401;F
;241;JARRA IPA;1;40;40;;30/08/2022 21:06:36;SERVIDOR;46;EMERSON;1049401;F
;241;JARRA IPA;1;40;40;;30/08/2022 21:42:22;SERVIDOR;46;GABRIEL;1049401;F
;241;JARRA IPA;1;40;40;;30/08/2022 22:06:55;SERVIDOR;46;GABRIEL;1049401;F
;241;JARRA IPA;1;40;40;;30/08/2022 22:31:41;SERVIDOR;46;GABRIEL;1049401;F
;241;JARRA IPA;1;40;40;;30/08/2022 22:55:15;SERVIDOR;46;GABRIEL;1049401;F
1049301;;7171;30/08/2022 20:32:11;31/08/2022 11:05:08;;84;84;0;8,4;58;LOCA;53601;GABRIEL;CAIXA;;;;;;;1;;;;;2201;
;105;PRAYA WITBIER LONG NECK;1;12;12;;30/08/2022 20:32:11;SERVIDOR;58;GABRIEL;1049301;F
;407;PRAYA PURO MALTE LN;1;12;12;;30/08/2022 20:52:13;SERVIDOR;58;GABRIEL;1049301;F
;239;CANECA CHOPP IPA;1;15;15;;30/08/2022 21:10:56;SERVIDOR;58;GABRIEL;1049301;F
;239;CANECA CHOPP IPA;1;15;15;;30/08/2022 21:33:05;SERVIDOR;58;GABRIEL;1049301;F
;239;CANECA CHOPP IPA;1;15;15;;30/08/2022 22:07:03;SERVIDOR;58;EMERSON;1049301;F
;239;CANECA CHOPP IPA;1;15;15;;30/08/2022 22:33:11;SERVIDOR;58;ANA;1049301;F
1049201;;7170;30/08/2022 21:46:51;31/08/2022 11:04:55;;48;48;0;4,8;66;LOCA;53601;CASSIA;CAIXA;;;;;;;1;;;;;601;
;1790;CAIPIROSCA FRUTA ;1;24;24;;30/08/2022 21:46:51;SERVIDOR;66;CASSIA;1049201;F
;1790;CAIPIROSCA FRUTA ;1;24;24;;30/08/2022 22:04:13;SERVIDOR;66;ANA;1049201;F
