Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente;Valor Venda;Valor Recebido;Vr. Desconto;Tx Serviço;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
;Código;Produto;Qtde;Vr. Total;Vr. Unitário;Observação;Hora Lançamento;Computador;Operação;Atendente;CO_VENDA;IC_ITEM_CANCELADO
981201;;6490;30/07/2022 20:02:56;30/07/2022 22:58:00;;209;209;0;21;1;LOCA;50901;JESSICA;CAIXA;;;;;;;1;;;;;1701;
;421;BURRATA COM JAMON E VERDE;1;49;49;;30/07/2022 20:03:12;SERVIDOR;1;JESSICA;981201;F
;41;PORÇAO NACHOS;1;15;15;;30/07/2022 20:17:28;SERVIDOR;1;JESSICA;981201;F
;97;JARRA SANGRIA LOCA SUMMER;1;55;55;;30/07/2022 20:22:20;SERVIDOR;1;GABRIEL;981201;F
;406;LULAS EMPANADAS;1;38;38;;30/07/2022 21:22:51;SERVIDOR;1;JESSICA;981201;F
;2;RISOTINHO DE CAMARÃO;1;52;52;;30/07/2022 22:26:07;SERVIDOR;1;JESSICA;981201;F
981101;;6489;30/07/2022 21:30:34;30/07/2022 22:23:41;;6,5;6,5;0;0,65;2;LOCA;50901;JESSICA;CAIXA;;;;;;;1;;;;;1701;
;111;AGUA SEM GAS;1;6,5;6,5;;30/07/2022 21:30:34;SERVIDOR;2;JESSICA;981101;F
981001;;6488;30/07/2022 21:36:52;30/07/2022 21:37:14;;36;36;0;3,6;3;LOCA;50901;MARCIO;CAIXA;;;;;;;1;;;;;1;
;405;CRISPY CHICKEN BURGUER;1;36;36;;30/07/2022 21:37:09;SERVIDOR;3;JESSICA;981001;F
980901;;6487;29/07/2022 22:12:29;30/07/2022 00:45:12;;486;486;0;48,6;3;LOCA;50801;GABRIEL;CAIXA;;;;;;;1;;;;;2201;
;53;TABUA MEXICANA ;1;42;42;;29/07/2022 22:12:29;SERVIDOR;3;GABRIEL;980901;F
;84;BOLINHO ACOSTELADO;1;32;32;;29/07/2022 22:12:29;SERVIDOR;3;GABRIEL;980901;F
;70;ÁGUA TONICA;1;8;8;;29/07/2022 22:14:25;SERVIDOR;3;GABRIEL;980901;F
;194;DOSE GIN BEEFEATER;1;21;21;;29/07/2022 22:14:25;SERVIDOR;3;GABRIEL;980901;F
;403;PRAYA WITBIER 600  ML;1;18;18;;29/07/2022 22:29:56;SERVIDOR;3;GABRIEL;980901;F
;97;JARRA SANGRIA LOCA SUMMER;1;55;55;;29/07/2022 22:32:42;SERVIDOR;3;GABRIEL;980901;F
;8;JARRA CLERICOT;1;56;56;;29/07/2022 22:44:25;SERVIDOR;3;GABRIEL;980901;F
;420;HEINEKEN LONG NECK;1;12;12;;29/07/2022 22:44:25;SERVIDOR;3;GABRIEL;980901;F
;420;HEINEKEN LONG NECK;1;12;12;;29/07/2022 23:18:46;SERVIDOR;3;GABRIEL;980901;F
;212;CASAS DEL MAIPO CHARDONNA;1;99;99;;29/07/2022 23:20:10;SERVIDOR;3;GABRIEL;980901;F
;420;HEINEKEN LONG NECK;1;12;12;;30/07/2022 00:14:02;SERVIDOR;3;CASSIA;980901;F
;420;HEINEKEN LONG NECK;1;12;12;;30/07/2022 00:14:02;SERVIDOR;3;CASSIA;980901;F
;212;CASAS DEL MAIPO CHARDONNA;1;99;99;;29/07/2022 22:21:59;SERVIDOR;3;EXTRA2;980901;F
;336;COCA COLA LT NORMAL;1;8;8;;30/07/2022 00:35:12;SERVIDOR;3;JESSICA;980901;F
980801;;6486;29/07/2022 22:11:57;30/07/2022 00:25:50;;239;239;0;23,9;1;LOCA;50801;MARCIO;CAIXA;;;;;;;1;;;;;1;
;104;CHEDDAR BURGER;1;38;38;;29/07/2022 22:41:44;SERVIDOR;1;GABRIEL;980801;F
;104;CHEDDAR BURGER;1;38;38;;29/07/2022 22:41:44;SERVIDOR;1;GABRIEL;980801;F
;94;SANGRIA HP;1;24;24;;29/07/2022 22:41:44;SERVIDOR;1;GABRIEL;980801;F
;94;SANGRIA HP;1;24;24;;29/07/2022 23:03:59;SERVIDOR;1;GABRIEL;980801;F
;97;JARRA SANGRIA LOCA SUMMER;1;55;55;;29/07/2022 23:17:29;SERVIDOR;1;GABRIEL;980801;F
