37 - CLERICOT TAÇA 5,00 95,00
38 - DOSE WHISKY 12 ANOS 54,00 1.341,46
629 - GARRAFA WHISKY 12 1,00 450,00
41 - PORÇAO NACHOS 40,00 640,00
422 - PORÇÃO FOCACCIA 97,00 1.843,00
45 - CEVICHE BANANA 29,00 986,00
436 - BRUSCHETA 132,00 3.680,14
437 - BRIE AO FORNO COM 63,00 3.465,00
438 - TABUA DE FRUTOS DO 56,00 6.573,18
439 - TABUA VEGETARIANA 35,00 2.380,00
442 - TABUA MIELO 34,00 2.108,00
48 - CAIPIROSCA 458,00 8.232,66
556 - CAIPIROSCA HP 118,00 2.122,11
49 - FILOCO BRANCO 4,00 516,00
534 - DOC CHANTEL 1,00 99,00
535 - TIERRUCA 2,00 159,80
536 - VIZAR BRANCO VERDE 6,00 760,00
624 - MONTE DA ESTRELA 2,00 238,00
50 - RED BULL 186,00 3.337,84
53 - TABUA MEXICANA 113,00 7.217,76
58 - DOSE CAMPARI 70,00 980,00
61 - JARRA SUCO 9,00 196,82
62 - PAPAS LOCAS (BATATA 294,00 7.641,85
421 - BURRATA COM JAMON 103,00 6.076,64

63 - OMELETE C SALADA 31,00 992,00
66 - ITEM EXTRA 62,00 427,61
67 - GUACAMOLE & NACHOS 245,00 9.554,82
70 - ÁGUA TONICA 81,00 648,00
581 - SCHWEPPES 116,00 928,00
72 - FEIJOADA 46,00 2.070,00
73 - LINGUIÇA NA CACHAÇA 256,00 8.670,83
441 - HALUMI DE COALHO F 44,00 1.231,64
460 - HALUMI DE COALHO H 28,00 559,82
74 - CAIPIRINHA 510,00 8.158,20
539 - CAIPIRINHA F VERME 11,00 241,74
557 - CAIPIRINHA HP 89,00 1.424,00
75 - DOSE DE BACARDI 182,00 1.454,35
215 - DOSE DE BACARDI LI 6,00 48,00
76 - SHOT LIMAO 287,00 573,68
77 - MOJITO 174,00 4.137,06
80 - DRINK ELEGANT LOCA 107,00 3.424,00
81 - CEVICHE CLASSICO 208,00 8.732,88
440 - FISH AND CHIPS 184,00 8.407,01
82 - SALADA GREGA DE MEL 5,00 120,00
84 - BOLINHO ACOSTELADO 815,00 29.312,57
485 - ENSOPADINHO POLVO 1,00 15,00
85 - CHICKEN FINGERS 266,00 9.041,77
461 - PIRULITO BARRIGA H 85,00 1.272,68
462 - PIRULITO FRANGO HP 59,00 885,00
463 - PIRULITO CAMARÃO H 81,00 1.458,00
464 - PIRULITO VEGETAIS 10,00 128,00
498 - RIBS EXECUTIVO 138,00 8.062,69
552 - CHICKEN FINGERS HP 67,00 1.674,89
577 - PIRULITO QUEIJO HP 33,00 462,00
593 - PIRULITO BARRIGA 74,00 1.405,96
594 - PIRULITO FRANGO 82,00 1.394,00
595 - PIRULITO CAMARÃO 62,00 1.302,00
596 - PIRULITO VEGETAIS 8,00 120,00
597 - PIRULITO QUEIJO 53,00 953,96
638 - RIBS AO BARBECUE 13,00 778,70
86 - COUVERT LOCA 1.778,0 18.034,80
223 - TAÇA VINHO LOCA 56,00 1.216,28
87 - FAVA COM CAMARÃO 109,00 3.051,43
547 - CAMARÕES FRITOS CO 51,00 2.856,00
555 - FAVA COM CAMARÃO H 22,00 440,00
88 - ARROZ COSTELA 68,00 2.652,00
632 - ARROZ COSTELA EXEC 2,00 99,80
90 - RISOTINHO DE FUNGHI 34,00 1.971,73
91 - CHORIPAN LOCA SUMME 216,00 5.824,17
458 - CHORIPAN HP 101,00 1.918,82
575 - CHORIPOLVO 123,00 3.567,00
613 - SANDUBA DE PERNIL 96,00 2.869,90
94 - SANGRIA HP 121,00 3.142,49
97 - JARRA SANGRIA LOCA 151,00 8.304,54
98 - COCA COLA LT ZERO 267,00 2.123,65
281 - COCA COLA KS 290ML 590,00 4.716,75
336 - COCA COLA LT NORMA 160,00 1.271,69
337 - GUARANA LT NORMAL 45,00 355,47
338 - GUARANA LT ZERO 43,00 344,00
571 - SPRITE KS 94,00 752,00
582 - FANTA KS 290ML 23,00 184,00
526 - AGUA COM GÁS 1.009,0 7.056,03
405 - CRISPY CHICKEN BUR 189,00 6.802,37
105 - PRAYA WITBIER LONG 44,00 616,00
407 - PRAYA PURO MALTE L 58,00 695,85
107 - APEROL SPRITZ 543,00 14.107,31
626 - SRA. GARIBALD 54,00 1.512,00
580 - DOSE TANQUERAY 7,00 175,00
525 - SODA ITALIANA 414,00 6.930,41
110 - LOCA PINK 327,00 9.134,51
265 - LOCA FRESH GIN 4,00 112,00
278 - LOCA PINK PROMO 1,00 13,00
111 - AGUA SEM GAS 1.928,0 13.481,48
113 - DOSE OLD PARR 133,00 3.324,51
457 - DOSE BALLANTIN'S 1 1,00 25,00
558 - DOSE BLACK LABEL 55,00 1.375,00
579 - DOSE BLACK&WHITE 111,00 1.852,36

583 - DOSE JAMERSON IPA 2,00 50,00
114 - DOSE JACK DANIELS 35,00 840,00
116 - AGUA DE COCO 12,00 88,00
117 - CAFÉ 104,00 671,05
136 - PORÇAO EXTRA 33,00 329,84
145 - DOSE VODKA ABSOLUT 51,00 1.071,00
146 - DOSE CACHAÇA MATUT 90,00 897,40
610 - CACHAÇA SAO PAULO 10,00 200,00
611 - CACHAÇA SAO PAULO 5,00 125,00
147 - ARANCCINI CARANGUE 225,00 7.645,90
158 - CHAPEU 1,00 40,00
161 - TAXA ROLHA 8,00 400,00
162 - CAIPIROSCA C ABSOL 40,00 840,00
166 - DOSE TEQUILA 67,00 1.407,00
167 - CORONA 103,00 1.333,00
171 - COLORADO VIXNU 7,00 140,00
172 - NEGRONI 113,00 3.616,00
173 - JARRA SANGRIA F.VE 10,00 620,00
538 - SANGRIA F.VERMELHA 6,00 174,00
177 - MOSCOW MULE 383,00 11.106,47
496 - CANECA MOSCOW 1,00 38,30
184 - DOSE VODKA AVIATOR 88,00 1.056,00
188 - PASTEIS QUEIJO REI 202,00 4.430,50
271 - PASTEIS CARNE 309,00 6.793,07
553 - PASTEIS CARNE HP 83,00 1.242,03
554 - PASTEIS QUEIJO REI 43,00 643,43
589 - PASTEIS QUEIJO COA 126,00 2.771,97
590 - PASTEIS QUEIJO COA 28,00 420,00
189 - BONE 4,00 229,00
190 - DOSE CACHAÇA ESPEC 32,00 383,04
192 - DOSE RED LABEL 82,00 1.886,00
194 - DOSE GIN BEEFEATER 19,00 399,00
201 - COLORADO RIBEIRAO 6,00 120,00
204 - CASAS DEL MAIPO CA 14,00 1.426,00
637 - CASAS DEL TOQUI 4,00 356,00
206 - GIN TONIC TRADICIO 240,00 6.943,57
211 - LICOR AMARULA 19,00 361,00
565 - LICOR 43 29,00 551,00
212 - CASAS DEL MAIPO CH 6,00 604,00
570 - CASAS DEL MAIPO RO 1,00 109,00
267 - VINHO NHOQUE FORTU 3,00 231,00
222 - CORTESIA ANIVERS. 31,00 0,31
