Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente;Valor Venda;Valor Recebido;Vr. Desconto;Tx Serviço;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
;Código;Produto;Qtde;Vr. Total;Vr. Unitário;Observação;Hora Lançamento;Computador;Operação;Atendente;CO_VENDA;IC_ITEM_CANCELADO
1459801;;11274;31/01/2023 21:59:52;31/01/2023 23:51:22;;301;301;0;26,1;7;LOCA;69801;MARCOS;CAIXA;;;;;;;1;;;;;3301;
;581;SCHWEPPES;1;8;8;;31/01/2023 21:59:52;SERVIDOR;7;MARCOS;1459801;F
;578;VB SOUR;1;28;28;;31/01/2023 21:59:52;SERVIDOR;7;MARCOS;1459801;F
;561;VB SEVERINA LAGER;1;25;25;;31/01/2023 21:59:52;SERVIDOR;7;MARCOS;1459801;F
;561;VB SEVERINA LAGER;1;25;25;;31/01/2023 21:59:52;SERVIDOR;7;MARCOS;1459801;F
;561;VB SEVERINA LAGER;1;25;25;;31/01/2023 22:35:52;SERVIDOR;7;MARCOS;1459801;F
;438;TABUA DE FRUTOS DO MAR;1;119;119;;31/01/2023 22:48:23;SERVIDOR;7;EMERSON;1459801;F
;526;AGUA COM GÁS ;1;7;7;;31/01/2023 22:48:23;SERVIDOR;7;EMERSON;1459801;F
;231;CANECA CHOPP LAGER;1;12;12;;31/01/2023 23:15:41;SERVIDOR;7;EMERSON;1459801;F
;231;CANECA CHOPP LAGER;1;12;12;;31/01/2023 23:26:23;SERVIDOR;7;MARCOS;1459801;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 23:44:08;SERVIDOR;7;EMERSON;1459801;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 23:44:08;SERVIDOR;7;EMERSON;1459801;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 23:44:08;SERVIDOR;7;EMERSON;1459801;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 23:44:08;SERVIDOR;7;EMERSON;1459801;F
1459701;;11273;31/01/2023 22:27:14;31/01/2023 23:34:34;;60;60;0;6;61;LOCA;69801;MARCOS;CAIXA;;;;;;;1;;;;;3301;
;420;HEINEKEN LONG NECK;1;12;12;;31/01/2023 22:27:14;SERVIDOR;61;MARCOS;1459701;F
;420;HEINEKEN LONG NECK;1;12;12;;31/01/2023 22:42:50;SERVIDOR;61;MARCOS;1459701;F
;231;CANECA CHOPP LAGER;1;12;12;;31/01/2023 23:12:24;SERVIDOR;61;MARCOS;1459701;F
;231;CANECA CHOPP LAGER;1;12;12;;31/01/2023 23:26:14;SERVIDOR;61;EMERSON;1459701;F
;231;CANECA CHOPP LAGER;1;12;12;;31/01/2023 23:28:41;SERVIDOR;61;EMERSON;1459701;F
1459601;;11272;31/01/2023 21:32:33;31/01/2023 23:15:09;;467;467;0;36,08;103;LOCA;69801;MARCOS;CAIXA;;;;;;;1;;;;;3301;
;53;TABUA MEXICANA ;1;64;64;;31/01/2023 21:32:33;SERVIDOR;103;MARCOS;1459601;F
;85;CHICKEN FINGERS ;1;34;34;;31/01/2023 21:32:33;SERVIDOR;103;MARCOS;1459601;F
;526;AGUA COM GÁS ;1;7;7;;31/01/2023 21:32:45;SERVIDOR;103;MARCOS;1459601;F
;177;MOSCOW MULE;1;29;29;;31/01/2023 21:36:07;SERVIDOR;103;MARCOS;1459601;F
;177;MOSCOW MULE;1;29;29;;31/01/2023 21:36:07;SERVIDOR;103;MARCOS;1459601;F
;97;JARRA SANGRIA LOCA SUMMER;1;55;55;;31/01/2023 21:38:57;SERVIDOR;103;MARCOS;1459601;F
;88;ARROZ COSTELA ;1;39;39;;31/01/2023 22:09:19;SERVIDOR;103;MARCOS;1459601;F
;2;RISOTINHO DE CAMARÃO;1;56;56;;31/01/2023 22:09:19;SERVIDOR;103;MARCOS;1459601;F
;575;CHORIPOLVO;1;29;29;;31/01/2023 22:09:19;SERVIDOR;103;MARCOS;1459601;F
;18;LOCA BURGUER;1;38;38;;31/01/2023 22:11:33;SERVIDOR;103;MARCOS;1459601;F
;575;CHORIPOLVO;1;29;29;;31/01/2023 22:19:06;SERVIDOR;103;MARCOS;1459601;F
;98;COCA COLA LT ZERO;1;8;8;;31/01/2023 22:50:06;SERVIDOR;103;MARCOS;1459601;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 22:52:34;SERVIDOR;103;MARCOS;1459601;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 22:52:34;SERVIDOR;103;MARCOS;1459601;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 22:52:34;SERVIDOR;103;MARCOS;1459601;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 22:52:34;SERVIDOR;103;MARCOS;1459601;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 22:52:34;SERVIDOR;103;MARCOS;1459601;F
1459501;;11271;31/01/2023 19:04:28;31/01/2023 21:58:11;;414;414;0;37,4;4;LOCA;69801;MARCOS;CAIXA;;;;;;;1;;;;;3301;
;420;HEINEKEN LONG NECK;1;12;12;;31/01/2023 19:04:28;SERVIDOR;4;MARCOS;1459501;F
;420;HEINEKEN LONG NECK;1;12;12;;31/01/2023 19:04:28;SERVIDOR;4;MARCOS;1459501;F
;420;HEINEKEN LONG NECK;1;12;12;;31/01/2023 19:04:28;SERVIDOR;4;MARCOS;1459501;F
;420;HEINEKEN LONG NECK;1;12;12;;31/01/2023 19:04:28;SERVIDOR;4;MARCOS;1459501;F
;2;RISOTINHO DE CAMARÃO;1;56;56;;31/01/2023 19:13:18;SERVIDOR;4;MARCOS;1459501;F
;73;LINGUIÇA NA CACHAÇA;1;34;34;;31/01/2023 19:13:18;SERVIDOR;4;MARCOS;1459501;F
;87;FAVA COM CAMARÃO;1;28;28;;31/01/2023 19:13:18;SERVIDOR;4;MARCOS;1459501;F
;111;AGUA SEM GAS;1;7;7;;31/01/2023 19:16:16;SERVIDOR;4;MARCOS;1459501;F
;420;HEINEKEN LONG NECK;1;12;12;;31/01/2023 19:53:57;SERVIDOR;4;MARCOS;1459501;F
;420;HEINEKEN LONG NECK;1;12;12;;31/01/2023 19:53:57;SERVIDOR;4;MARCOS;1459501;F
;62;PAPAS LOCAS (BATATA);1;26;26;;31/01/2023 20:08:15;SERVIDOR;4;MARCOS;1459501;F
;420;HEINEKEN LONG NECK;1;12;12;;31/01/2023 20:17:41;SERVIDOR;4;MARCOS;1459501;F
;420;HEINEKEN LONG NECK;1;12;12;;31/01/2023 20:17:41;SERVIDOR;4;MARCOS;1459501;F
;18;LOCA BURGUER;1;38;38;;31/01/2023 20:17:41;SERVIDOR;4;MARCOS;1459501;F
;281;COCA COLA KS 290ML;1;8;8;;31/01/2023 20:22:24;SERVIDOR;4;MARCOS;1459501;F
;111;AGUA SEM GAS;1;7;7;;31/01/2023 20:22:24;SERVIDOR;4;MARCOS;1459501;F
;88;ARROZ COSTELA ;1;39;39;;31/01/2023 20:32:12;SERVIDOR;4;MARCOS;1459501;F
;281;COCA COLA KS 290ML;1;8;8;;31/01/2023 20:43:01;SERVIDOR;4;MARCOS;1459501;F
;420;HEINEKEN LONG NECK;1;12;12;;31/01/2023 20:57:28;SERVIDOR;4;MARCOS;1459501;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 20:57:28;SERVIDOR;4;MARCOS;1459501;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 20:57:28;SERVIDOR;4;MARCOS;1459501;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 20:57:28;SERVIDOR;4;MARCOS;1459501;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 20:57:28;SERVIDOR;4;MARCOS;1459501;F
;111;AGUA SEM GAS;1;7;7;;31/01/2023 20:58:01;SERVIDOR;4;MARCOS;1459501;F
;281;COCA COLA KS 290ML;1;8;8;;31/01/2023 20:58:01;SERVIDOR;4;MARCOS;1459501;F
1459401;;11270;31/01/2023 21:12:29;31/01/2023 21:57:51;;13;13;0;1,3;3;LOCA;69801;MARCOS;CAIXA;;;;;;;1;;;;;3301;
;117;CAFÉ;1;6,5;6,5;;31/01/2023 21:12:29;SERVIDOR;3;MARCOS;1459401;F
;117;CAFÉ;1;6,5;6,5;;31/01/2023 21:12:29;SERVIDOR;3;MARCOS;1459401;F
1459301;;11269;31/01/2023 18:14:23;31/01/2023 21:57:10;;136;136;0;11,6;108;LOCA;69801;EMERSON;CAIXA;;;;;;;1;;;;;501;
;10;COPO SUCO;1;12;12;;31/01/2023 19:59:18;SERVIDOR;108;MARCOS;1459301;F
;167;CORONA;1;13;13;;31/01/2023 20:01:45;SERVIDOR;108;MARCOS;1459301;F
;593;PIRULITO BARRIGA ;1;19;19;;31/01/2023 20:01:45;SERVIDOR;108;MARCOS;1459301;F
;440;FISH AND CHIPS;1;46;46;;31/01/2023 20:01:45;SERVIDOR;108;MARCOS;1459301;F
;167;CORONA;1;13;13;;31/01/2023 20:42:47;SERVIDOR;108;MARCOS;1459301;F
;167;CORONA;1;13;13;;31/01/2023 21:18:30;SERVIDOR;108;MARCOS;1459301;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 21:37:41;SERVIDOR;108;MARCOS;1459301;F
;86;COUVERT LOCA;1;10;10;;31/01/2023 21:37:41;SERVIDOR;108;MARCOS;1459301;F
